,id,retweet_count,favorite_count
684,683852578183077888,381,2043
685,683857920510050305,1209,4044
686,684097758874210310,1564,4363
687,684122891630342144,516,2117
688,684177701129875456,730,2144
689,684188786104872960,1271,3695
690,684195085588783105,563,2035
691,684200372118904832,1122,2304
692,684222868335505415,1502,4084
693,684225744407494656,230,1315
694,684241637099323392,3584,8657
695,684460069371654144,605,2098
696,684481074559381504,1267,4110
697,684538444857667585,1046,2814
698,684567543613382656,1343,3197
699,684594889858887680,3844,9497
700,684800227459624960,1080,2878
701,684880619965411328,894,2231
702,684902183876321280,575,1995
703,684914660081053696,1584,3721
704,684926975086034944,512,3722
705,684940049151070208,1135,3419
706,684959798585110529,3410,7240
707,685169283572338688,1547,4351
708,685198997565345792,728,2474
709,685268753634967552,1313,3294
710,685307451701334016,478,2198
711,685315239903100929,1170,3553
712,685321586178670592,699,2816
713,685325112850124800,4340,10077
714,685532292383666176,1248,3235
715,685547936038666240,17033,35006
716,685641971164143616,841,3113
717,685663452032069632,1592,3455
718,685667379192414208,624,2488
719,685906723014619143,3155,7991
720,685943807276412928,662,1732
721,685973236358713344,578,2239
722,686003207160610816,690,1931
723,686007916130873345,454,2626
724,686034024800862208,1272,3313
725,686050296934563840,799,2343
726,686358356425093120,741,2336
727,686377065986265092,607,2360
728,686386521809772549,957,3457
729,686606069955735556,587,2004
730,686618349602762752,1474,3903
731,686683045143953408,872,2983
732,686730991906516992,1302,4411
733,686749460672679938,1586,3678
734,686947101016735744,3447,9133
735,687096057537363968,658,2388
736,687102708889812993,1075,2487
737,687109925361856513,2678,6168
738,687124485711986689,551,2302
739,687127927494963200,2480,5807
740,687312378585812992,2065,4629
741,687317306314240000,9944,21363
742,687460506001633280,588,2172
743,687476254459715584,582,2094
744,687480748861947905,268,1698
745,687494652870668288,624,2034
746,687664829264453632,556,2062
747,687704180304273409,912,2590
748,687807801670897665,761,2538
749,687818504314159109,1027,2659
750,687826841265172480,1230,2902
751,688064179421470721,388,1826
752,688116655151435777,851,2997
753,688179443353796608,638,2250
754,688211956440801280,909,2362
755,688385280030670848,4832,9872
756,688519176466644993,793,2454
757,688547210804498433,763,2774
758,688789766343622656,723,2350
759,688804835492233216,213,1019
760,688828561667567616,402,1466
761,688894073864884227,755,2371
762,688898160958271489,854,2235
763,688908934925697024,839,2252
764,688916208532455424,945,2907
765,689143371370250240,558,2152
766,689154315265683456,1089,3249
767,689275259254616065,267,1229
768,689280876073582592,779,2119
769,689283819090870273,1199,3492
770,689289219123089408,1008,2394
771,689517482558820352,1552,3603
772,689557536375177216,502,2177
773,689599056876867584,5994,12358
774,689623661272240129,702,2373
775,689659372465688576,4228,11025
776,689661964914655233,1007,3396
777,689835978131935233,818,2299
778,689877686181715968,1283,3200
779,689905486972461056,750,2577
780,689977555533848577,483,1450
781,689999384604450816,407,1516
782,690005060500217858,1832,3896
783,690015576308211712,802,2666
784,690021994562220032,1121,2971
785,690248561355657216,446,1792
786,690360449368465409,966,2817
787,690374419777196032,935,3456
788,690400367696297985,490,1985
789,690597161306841088,653,2086
790,690649993829576704,305,1388
791,690690673629138944,858,2476
792,690728923253055490,562,2305
793,690735892932222976,1389,4017
794,690932576555528194,1107,3490
795,690938899477221376,2167,4396
796,690959652130045952,1361,3805
797,691090071332753408,362,1812
798,691096613310316544,967,3149
799,691321916024623104,714,2738
800,691416866452082688,8285,20533
801,691444869282295808,918,2819
802,691459709405118465,1246,4316
803,691483041324204033,612,2521
804,691675652215414786,551,2063
805,691756958957883396,1106,3071
806,691820333922455552,1788,4187
807,692017291282812928,1037,3040
808,692142790915014657,426,1744
809,692158366030913536,860,2289
810,692187005137076224,888,2678
811,692417313023332352,3765,9925
812,692530551048294401,456,1964
813,692535307825213440,1470,3386
814,692568918515392513,1663,4616
815,692752401762250755,3929,7255
816,692828166163931137,957,3050
817,692894228850999298,873,2416
818,692901601640583168,657,1900
819,692905862751522816,948,2587
820,692919143163629568,805,2837
821,693095443459342336,500,1995
822,693109034023534592,665,1829
823,693155686491000832,3464,8379
824,693231807727280129,796,3037
825,693262851218264065,544,2364
826,693280720173801472,1348,3570
827,693486665285931008,683,1885
828,693590843962331137,2131,5375
829,693622659251335168,399,1638
830,693629975228977152,868,2599
831,693642232151285760,448,2696
832,693647888581312512,643,2862
833,693942351086120961,398,1840
